HomeTeamName,AwayTeamName,DateandTimeCET,MatchID,RoundName,ScoreHome,ScoreAway,TeamID,TeamName,StatsID,StatsName,Value,Rank
Turkey,Italy,2021-06-11T21:00:00,2024447,final tournament,0,3,135,Turkey,1,Goals,0,2
Turkey,Italy,2021-06-11T21:00:00,2024447,final tournament,0,3,135,Turkey,2,Ball Possession,39,2
Turkey,Italy,2021-06-11T21:00:00,2024447,final tournament,0,3,135,Turkey,3,Total Attempts,3,2
Turkey,Italy,2021-06-11T21:00:00,2024447,final tournament,0,3,135,Turkey,4,Attempts on target,0,2
Turkey,Italy,2021-06-11T21:00:00,2024447,final tournament,0,3,135,Turkey,5,Attempts off target,1,2
Turkey,Italy,2021-06-11T21:00:00,2024447,final tournament,0,3,135,Turkey,6,Attempts against woodwork,0,1
Turkey,Italy,2021-06-11T21:00:00,2024447,final tournament,0,3,135,Turkey,11,Attempts Accuracy,0,2
Turkey,Italy,2021-06-11T21:00:00,2024447,final tournament,0,3,135,Turkey,12,Corners,2,2
Turkey,Italy,2021-06-11T21:00:00,2024447,final tournament,0,3,135,Turkey,13,Offsides,2,2
Turkey,Italy,2021-06-11T21:00:00,2024447,final tournament,0,3,135,Turkey,14,Saves,6,1
Turkey,Italy,2021-06-11T21:00:00,2024447,final tournament,0,3,135,Turkey,17,Tackles won,5,1
Turkey,Italy,2021-06-11T21:00:00,2024447,final tournament,0,3,135,Turkey,18,Clearances,31,1
Turkey,Italy,2021-06-11T21:00:00,2024447,final tournament,0,3,135,Turkey,19,Recovered balls,41,1
Turkey,Italy,2021-06-11T21:00:00,2024447,final tournament,0,3,135,Turkey,20,Fouls committed,10,1
Turkey,Italy,2021-06-11T21:00:00,2024447,final tournament,0,3,135,Turkey,21,Yellow cards,2,1
Turkey,Italy,2021-06-11T21:00:00,2024447,final tournament,0,3,135,Turkey,22,Red cards,0,1
Turkey,Italy,2021-06-11T21:00:00,2024447,final tournament,0,3,135,Turkey,23,Passes completed,301,2
Turkey,Italy,2021-06-11T21:00:00,2024447,final tournament,0,3,135,Turkey,24,Passes accuracy,80,2
Turkey,Italy,2021-06-11T21:00:00,2024447,final tournament,0,3,135,Turkey,27,Distance covered (m),105753,2
Turkey,Italy,2021-06-11T21:00:00,2024447,final tournament,0,3,135,Turkey,28,Distance covered in possession (m),30945,2
Turkey,Italy,2021-06-11T21:00:00,2024447,final tournament,0,3,135,Turkey,29,Top Speed (Km/h),32,2
Turkey,Italy,2021-06-11T21:00:00,2024447,final tournament,0,3,135,Turkey,32,Own-goals,1,1
Turkey,Italy,2021-06-11T21:00:00,2024447,final tournament,0,3,135,Turkey,33,Goals scored,0,2
Turkey,Italy,2021-06-11T21:00:00,2024447,final tournament,0,3,135,Turkey,34,Goals conceded,3,1
Turkey,Italy,2021-06-11T21:00:00,2024447,final tournament,0,3,135,Turkey,35,Own-goals for,0,2
Turkey,Italy,2021-06-11T21:00:00,2024447,final tournament,0,3,135,Turkey,36,Goals scored by right foot,0,2
Turkey,Italy,2021-06-11T21:00:00,2024447,final tournament,0,3,135,Turkey,37,Goals scored by left foot,0,1
